ORDER_ID,CUSTOMERS_ID,EMPLOYEES_ID,ORDER_DATE
10257,1747,51,4/2/2016
10258,1044,53,4/3/2016
10259,1428,52,4/3/2016
10260,1572,50,4/3/2016
10261,1338,53,4/4/2016
10262,1094,52,4/4/2016
10263,1213,51,4/4/2016
10264,1158,52,4/4/2016
10265,1373,50,4/4/2016
10266,1564,51,4/4/2016
10267,1597,53,4/5/2016
10268,1361,53,4/5/2016
10269,1032,51,4/5/2016
10270,1963,50,4/6/2016
10271,1980,52,4/6/2016
10272,1785,53,4/7/2016
10273,1391,51,4/8/2016
10274,1973,52,4/8/2016
10275,1520,50,4/9/2016
10276,1146,50,4/9/2016
10277,1312,52,4/9/2016
10278,1265,53,4/9/2016
10279,1687,51,4/10/2016
10280,1447,51,4/10/2016
10281,1003,52,4/10/2016
10282,1197,50,4/10/2016
10283,1474,53,4/10/2016
10284,1558,51,4/11/2016
10285,1900,50,4/11/2016
10286,1212,52,4/11/2016
10287,1461,53,4/12/2016
10288,1952,50,4/12/2016
10289,1562,53,4/12/2016
10290,1390,51,4/12/2016
10291,1258,52,4/13/2016
10292,1689,53,4/13/2016
10293,1098,50,4/13/2016
10294,1924,51,4/13/2016
10295,1404,52,4/14/2016
10296,1292,51,4/14/2016
10297,1604,52,4/15/2016
10298,1943,50,4/15/2016
10299,1014,53,4/15/2016
10300,1038,52,4/16/2016
10301,1127,53,4/16/2016
10302,1657,50,4/16/2016
10303,1242,51,4/17/2016
10304,1956,53,4/17/2016
10305,1645,50,4/17/2016
10306,1359,51,4/17/2016
10307,1590,52,4/17/2016
10308,1920,51,4/17/2016
10309,1153,52,4/18/2016
10310,1850,53,4/18/2016
10311,1179,50,4/18/2016
10312,1628,50,4/19/2016
10313,1451,53,4/20/2016
10314,1262,51,4/20/2016
10315,1039,52,4/20/2016
10316,1553,53,4/21/2016
10317,1844,50,4/21/2016
10318,1661,52,4/21/2016
10319,1431,51,4/21/2016
10320,1441,50,4/22/2016
10321,1493,53,4/23/2016
10322,1978,52,4/23/2016
10323,1047,51,4/23/2016
10324,1477,53,4/23/2016
10325,1841,51,4/23/2016
10326,1991,52,4/24/2016
10327,1093,50,4/24/2016
10328,1245,53,4/24/2016
10329,1387,50,4/25/2016
10330,1239,52,4/25/2016
10331,1070,51,4/26/2016
10332,1985,53,4/26/2016
10333,1603,51,4/26/2016
10334,1909,50,4/26/2016
10335,1765,52,4/27/2016
10336,1530,50,4/27/2016
10337,1200,53,4/27/2016
10338,1740,51,4/27/2016
10339,1609,52,4/27/2016
10340,1772,50,4/29/2016
10341,1711,52,4/29/2016
10342,1061,51,4/29/2016
10343,1091,53,4/30/2016
10344,1616,50,4/30/2016
10345,1438,53,4/30/2016
10346,1532,52,5/1/2016
10347,1119,51,5/3/2016
10348,1482,53,5/3/2016
10349,1741,50,5/4/2016
10350,1336,52,5/5/2016
10351,1648,51,5/5/2016
10352,1506,51,5/6/2016
10353,1411,52,5/6/2016
10354,1888,53,5/7/2016
10355,1427,50,5/8/2016
10356,1107,51,5/8/2016
10357,1768,52,5/9/2016
10358,1331,53,5/9/2016
10359,1227,50,5/9/2016
10360,1958,50,5/9/2016
10361,1008,52,5/9/2016
10362,1776,51,5/9/2016
10363,1757,53,5/10/2016
10364,1670,51,5/10/2016
10365,1899,52,5/10/2016
10366,1812,53,5/10/2016
10367,1037,50,5/11/2016
10368,1323,53,5/11/2016
10369,1617,51,5/11/2016
10370,1073,52,5/11/2016
10371,1727,50,5/12/2016
10372,1690,51,5/12/2016
10373,1079,50,5/12/2016
10374,1246,53,5/12/2016
10375,1513,52,5/13/2016
10376,1833,52,5/13/2016
10377,1086,50,5/13/2016
10378,1855,51,5/13/2016
10379,1612,53,5/13/2016
10380,1551,50,5/14/2016
10381,1178,52,5/14/2016
10382,1169,51,5/14/2016
10383,1371,53,5/14/2016
10384,1366,50,5/15/2016
10385,1304,52,5/16/2016
10386,1155,53,5/16/2016
10387,1438,51,5/16/2016
10388,1275,53,5/16/2016
10389,1330,50,5/17/2016
10390,1867,52,5/17/2016
10391,1550,51,5/17/2016
10392,1201,50,5/17/2016
10393,1616,51,5/19/2016
10394,1970,52,5/19/2016
10395,1630,53,5/19/2016
10396,1069,53,5/20/2016
10397,1122,51,5/21/2016
10398,1427,52,5/21/2016
10399,1627,50,5/22/2016
10400,1801,51,5/22/2016
10401,1197,53,5/22/2016
10402,1523,52,5/22/2016
10403,1629,50,5/23/2016
10404,1558,50,5/23/2016
10405,1467,52,5/24/2016
10406,1014,53,5/24/2016
10407,1512,51,5/24/2016
10408,1679,50,5/25/2016
10409,1047,51,5/25/2016
10410,1815,53,5/26/2016
10411,1292,52,5/26/2016
10412,1647,51,5/27/2016
10413,1896,52,5/27/2016
10414,1447,50,5/27/2016
10415,1886,53,5/28/2016
10416,1353,51,5/29/2016
10417,1140,53,5/30/2016
10418,1183,50,5/30/2016
10419,1090,52,5/30/2016
10420,1857,52,5/31/2016
10421,1176,51,5/31/2016
10422,1094,53,5/31/2016
10423,1980,50,5/31/2016
10424,1030,50,6/1/2016
10425,1862,51,6/1/2016
10426,1485,53,6/1/2016
10427,1377,52,6/1/2016
10428,1573,53,6/1/2016
10429,1713,52,6/2/2016
10430,1804,51,6/2/2016
10431,1136,50,6/2/2016
10432,1164,53,6/2/2016
10433,1502,51,6/2/2016
10434,1367,52,6/3/2016
10435,1156,50,6/4/2016
10436,1294,51,6/4/2016
10437,1131,52,6/5/2016
10438,1864,53,6/5/2016
10439,1284,50,6/6/2016
10440,1842,51,6/6/2016
10441,1918,50,6/7/2016
10442,1449,53,6/7/2016
10443,1462,52,6/7/2016
10444,1599,53,6/7/2016
10445,1979,50,6/8/2016
10446,1058,51,6/8/2016
10447,1545,52,6/8/2016
10448,1560,52,6/9/2016
10449,1454,50,6/9/2016
10450,1406,51,6/9/2016
10451,1667,53,6/10/2016
10452,1742,51,6/11/2016
10453,1071,53,6/12/2016
10454,1111,50,6/12/2016
10455,1354,52,6/12/2016
10456,1501,53,6/13/2016
10457,1002,52,6/14/2016
10458,1021,51,6/15/2016
10459,1299,50,6/15/2016
10460,1536,52,6/16/2016
10461,1563,50,6/16/2016
10462,1006,53,6/16/2016
10463,1893,51,6/17/2016
10464,1941,52,6/17/2016
10465,1162,51,6/17/2016
10466,1194,50,6/18/2016
10467,1410,53,6/18/2016
10468,1934,51,6/18/2016
10469,1844,53,6/19/2016
10470,1708,52,6/19/2016
10471,1349,50,6/19/2016
10472,1688,50,6/20/2016
10473,1687,51,6/20/2016
10474,1347,53,6/20/2016
10475,1936,52,6/21/2016
10476,1951,51,6/22/2016
10477,1303,50,6/22/2016
10478,1908,53,6/22/2016
10479,1335,52,6/23/2016
10480,1440,50,6/23/2016
10481,1061,52,6/23/2016
10482,1133,53,6/23/2016
10483,1138,51,6/24/2016
10484,1504,50,6/24/2016
10485,1661,51,6/24/2016
10486,1602,52,6/24/2016
10487,1153,53,6/25/2016
10488,1034,51,6/25/2016
10489,1528,50,6/25/2016
10490,1854,52,6/26/2016
10491,1584,53,6/27/2016
10492,1074,53,6/28/2016
10493,1547,51,6/28/2016
10494,1332,52,6/28/2016
10495,1422,50,6/28/2016
10496,1003,53,6/29/2016
10497,1656,50,6/29/2016
10498,1352,51,6/29/2016
10499,1355,52,6/30/2016
10500,1765,51,6/30/2016
10501,1473,52,6/30/2016
10502,1024,53,7/1/2016
10503,1745,50,7/1/2016
10504,1662,51,7/1/2016
10505,1807,53,7/1/2016
10506,1811,50,7/1/2016
10507,1930,52,7/2/2016
10508,1305,52,7/2/2016
10509,1784,50,7/2/2016
10510,1086,53,7/3/2016
10511,1158,51,7/3/2016
10512,1315,52,7/3/2016
10513,1365,53,7/3/2016
10514,1039,50,7/3/2016
10515,1649,51,7/4/2016
10516,1644,53,7/4/2016
10517,1044,51,7/5/2016
10518,1894,52,7/5/2016
10519,1585,50,7/5/2016
10520,1452,50,7/6/2016
10521,1239,52,7/7/2016
10522,1943,53,7/7/2016
10523,1425,51,7/8/2016
10524,1693,52,7/9/2016
10525,1706,53,7/9/2016
10526,1191,50,7/9/2016
10527,1012,51,7/9/2016
10528,1565,53,7/9/2016
10529,1130,50,7/10/2016
10530,1118,52,7/10/2016
10531,1787,51,7/10/2016
10532,1384,52,7/10/2016
10533,1357,53,7/10/2016
10534,1157,50,7/11/2016
10535,1025,51,7/11/2016
10536,1379,53,7/12/2016
10537,1479,52,7/12/2016
10538,1446,50,7/12/2016
10539,1224,51,7/12/2016
10540,1026,52,7/13/2016
10541,1615,51,7/13/2016
10542,1541,50,7/14/2016
10543,1407,53,7/15/2016
10544,1127,51,7/16/2016
10545,1655,52,7/17/2016
10546,1586,50,7/17/2016
10547,1499,53,7/17/2016
10548,1337,51,7/19/2016
10549,1178,53,7/19/2016
10550,1847,52,7/19/2016
10551,1702,50,7/20/2016
10552,1526,51,7/20/2016
10553,1830,50,7/21/2016
10554,1241,53,7/21/2016
10555,1187,52,7/21/2016
10556,1478,52,7/21/2016
10557,1625,51,7/21/2016
10558,1595,53,7/22/2016
10559,1091,50,7/22/2016
10560,1248,50,7/23/2016
10561,1820,53,7/23/2016
10562,1298,52,7/23/2016
10563,1078,51,7/23/2016
10564,1066,51,7/23/2016
10565,1278,53,7/23/2016
10566,1008,52,7/23/2016
10567,1198,50,7/24/2016
10568,1256,51,7/24/2016
10569,1686,50,7/24/2016
10570,1738,52,7/24/2016
10571,1372,53,7/25/2016
10572,1169,51,7/25/2016
10573,1413,52,7/26/2016
10574,1938,50,7/26/2016
10575,1092,53,7/26/2016
10576,1843,50,7/26/2016
10577,1102,51,7/26/2016
10578,1737,53,7/26/2016
10579,1909,52,7/26/2016
10580,2000,52,7/26/2016
10581,1240,51,7/26/2016
10582,1744,50,7/27/2016
10583,1475,53,7/27/2016
10584,1994,50,7/27/2016
10585,1494,53,7/28/2016
10586,1343,51,7/29/2016
10587,1380,52,7/30/2016
10588,1378,53,7/30/2016
10589,1735,51,7/30/2016
10590,1163,52,7/30/2016
10591,1397,50,7/30/2016
10592,1754,51,7/31/2016
10593,1973,50,7/31/2016
10594,1247,52,7/31/2016
10595,1567,53,7/31/2016
10596,1654,52,7/31/2016
10597,1200,53,8/1/2016
10598,1628,51,8/1/2016
10599,1692,50,8/2/2016
10600,1295,52,8/2/2016
10601,1460,51,8/2/2016
10602,1957,50,8/3/2016
10603,1220,53,8/3/2016
10604,1521,50,8/4/2016
10605,1323,51,8/4/2016
10606,1341,52,8/5/2016
10607,1145,53,8/5/2016
10608,1614,50,8/6/2016
10609,1904,51,8/6/2016
10610,1772,53,8/6/2016
10611,1409,52,8/6/2016
10612,1810,51,8/6/2016
10613,1961,52,8/7/2016
10614,1500,53,8/7/2016
10615,1721,50,8/7/2016
10616,1362,51,8/7/2016
10617,1401,52,8/8/2016
10618,1685,53,8/8/2016
10619,1766,50,8/8/2016
10620,1089,52,8/8/2016
10621,1603,53,8/8/2016
10622,1658,51,8/10/2016
10623,1205,50,8/11/2016
10624,1532,52,8/11/2016
10625,1245,50,8/11/2016
10626,1387,51,8/11/2016
10627,1064,53,8/12/2016
10628,1791,52,8/12/2016
10629,1141,50,8/12/2016
10630,1363,53,8/13/2016
10631,1570,51,8/14/2016
10632,1472,50,8/14/2016
10633,1018,53,8/15/2016
10634,1881,51,8/15/2016
10635,1288,52,8/16/2016
10636,1834,51,8/16/2016
10637,1747,50,8/17/2016
10638,1673,52,8/18/2016
10639,1005,53,8/18/2016
10640,1996,52,8/19/2016
10641,1876,50,8/19/2016
10642,1517,51,8/19/2016
10643,1287,53,8/19/2016
10644,1597,53,8/19/2016
10645,1117,52,8/20/2016
10646,1296,51,8/20/2016
10647,1790,50,8/20/2016
10648,1714,51,8/21/2016
10649,1415,50,8/21/2016
10650,1950,53,8/21/2016
10651,1339,52,8/21/2016
10652,1682,52,8/21/2016
10653,1623,50,8/22/2016
10654,1465,51,8/22/2016
10655,1342,53,8/23/2016
10656,1530,50,8/23/2016
10657,1577,51,8/23/2016
10658,1186,53,8/23/2016
10659,1147,52,8/23/2016
10660,1891,50,8/24/2016
10661,1669,51,8/24/2016
10662,1031,53,8/25/2016
10663,1080,52,8/26/2016
10664,1321,51,8/26/2016
10665,1484,50,8/27/2016
10666,1652,52,8/27/2016
10667,1641,53,8/28/2016
10668,1032,53,8/29/2016
10669,1202,51,8/29/2016
10670,1226,52,8/29/2016
10671,1995,50,8/30/2016
10672,1437,53,8/30/2016
10673,1589,52,8/30/2016
10674,1873,51,8/30/2016
10675,1946,50,8/31/2016
10676,1977,53,8/31/2016
10677,1317,51,9/1/2016
10678,1255,50,9/1/2016
10679,1350,52,9/1/2016
10680,1578,50,9/1/2016
10681,1028,53,9/1/2016
10682,1751,52,9/1/2016
10683,1779,51,9/2/2016
10684,1947,51,9/2/2016
10685,1660,52,9/2/2016
10686,1046,53,9/3/2016
10687,1322,50,9/3/2016
10688,1307,50,9/3/2016
10689,1937,52,9/3/2016
10690,1544,51,9/4/2016
10691,1972,53,9/4/2016
10692,1743,53,9/4/2016
10693,1043,50,9/4/2016
10694,1865,51,9/5/2016
10695,1389,52,9/5/2016
10696,1210,52,9/5/2016
10697,1819,53,9/6/2016
10698,1179,50,9/6/2016
10699,1617,51,9/7/2016
10700,1554,51,9/7/2016
10701,1730,50,9/7/2016
10702,1503,53,9/7/2016
10703,1681,52,9/7/2016
10704,1546,51,9/7/2016
10705,1306,53,9/7/2016
10706,1246,50,9/8/2016
10707,1956,52,9/8/2016
10708,1358,51,9/8/2016
10709,1257,50,9/9/2016
10710,1414,53,9/9/2016
10711,1218,52,9/9/2016
10712,1856,50,9/9/2016
10713,1312,51,9/9/2016
10714,1728,52,9/9/2016
10715,1987,53,9/10/2016
10716,1267,52,9/10/2016
10717,1808,50,9/10/2016
10718,1129,53,9/11/2016
10719,1540,51,9/11/2016
10720,1244,53,9/12/2016
10721,1795,51,9/12/2016
10722,1229,50,9/12/2016
10723,1477,52,9/12/2016
10724,1448,53,9/12/2016
10725,1677,50,9/12/2016
10726,1821,52,9/12/2016
10727,1805,51,9/13/2016
10728,1648,52,9/13/2016
10729,1529,53,9/14/2016
10730,1309,50,9/15/2016
10731,1786,51,9/15/2016
10732,1802,51,9/15/2016
10733,1510,52,9/15/2016
10734,1670,53,9/15/2016
10735,1632,50,9/16/2016
10736,1761,53,9/16/2016
10737,1277,51,9/16/2016
10738,1142,50,9/17/2016
10739,1498,52,9/18/2016
10740,1506,50,9/18/2016
10741,1079,52,9/18/2016
10742,1054,53,9/18/2016
10743,1746,51,9/19/2016
10744,1898,53,9/19/2016
10745,1610,52,9/19/2016
10746,1459,50,9/19/2016
10747,1348,51,9/19/2016
10748,1870,53,9/20/2016
10749,1204,50,9/20/2016
10750,1038,51,9/20/2016
10751,1672,52,9/20/2016
10752,1203,52,9/21/2016
10753,1707,50,9/21/2016
10754,1125,51,9/22/2016
10755,1944,53,9/22/2016
10756,1940,50,9/22/2016
10757,1749,51,9/23/2016
10758,1719,53,9/23/2016
10759,1301,52,9/23/2016
10760,1450,50,9/24/2016
10761,1902,52,9/24/2016
10762,1631,51,9/24/2016
10763,1919,53,9/24/2016
10764,1997,52,9/25/2016
10765,1955,51,9/25/2016
10766,1615,53,9/25/2016
10767,1982,50,9/25/2016
10768,1126,53,9/26/2016
10769,1329,52,9/27/2016
10770,1977,51,9/28/2016
10771,1001,50,9/28/2016
10772,1499,51,9/28/2016
10773,1266,50,9/28/2016
10774,1071,53,9/28/2016
10775,1979,52,9/28/2016
10776,1949,51,9/28/2016
10777,1455,50,9/29/2016
10778,1206,53,9/29/2016
10779,1438,52,9/29/2016
10780,1420,53,9/30/2016
10781,1967,51,9/30/2016
10782,1204,52,9/30/2016
10783,1642,50,9/30/2016
10784,1853,50,9/30/2016
10785,1891,53,10/1/2016
10786,1917,52,10/1/2016
10787,1252,51,10/1/2016
10788,1565,52,10/2/2016
10789,1552,51,10/3/2016
10790,1234,53,10/3/2016
10791,1640,50,10/4/2016
10792,1210,52,10/4/2016
10793,1536,50,10/4/2016
10794,1696,53,10/4/2016
10795,1117,51,10/4/2016
10796,1431,53,10/6/2016
10797,1669,50,10/6/2016
10798,1005,51,10/6/2016
10799,1806,52,10/6/2016
10800,1745,53,10/7/2016
10801,1860,51,10/7/2016
10802,1421,50,10/8/2016
10803,1574,52,10/8/2016
10804,1803,50,10/8/2016
10805,1506,51,10/8/2016
10806,1273,53,10/9/2016
10807,1066,52,10/10/2016
10808,1846,53,10/11/2016
10809,1944,50,10/11/2016
10810,1092,51,10/12/2016
10811,1517,52,10/13/2016
10812,1205,50,10/13/2016
10813,1885,52,10/13/2016
10814,1322,53,10/14/2016
10815,1680,51,10/14/2016
10816,1554,50,10/14/2016
10817,1086,53,10/14/2016
10818,1754,51,10/16/2016
10819,1465,52,10/16/2016
10820,1594,53,10/16/2016
10821,1770,50,10/17/2016
10822,1156,51,10/17/2016
10823,1153,52,10/17/2016
10824,1239,51,10/18/2016
10825,1974,53,10/18/2016
10826,1197,50,10/18/2016
10827,1713,52,10/19/2016
10828,1678,53,10/19/2016
10829,1342,50,10/20/2016
10830,1116,52,10/20/2016
10831,1813,51,10/20/2016
10832,1812,50,10/21/2016
10833,1909,52,10/21/2016
10834,1747,53,10/22/2016
10835,1868,51,10/22/2016
10836,1831,53,10/22/2016
10837,1571,52,10/22/2016
10838,1091,51,10/23/2016
10839,1233,50,10/23/2016
10840,1788,52,10/24/2016
10841,1518,51,10/24/2016
10842,1326,50,10/25/2016
10843,1028,53,10/25/2016
10844,1513,50,10/26/2016
10845,1296,52,10/26/2016
10846,1460,53,10/27/2016
10847,1187,51,10/27/2016
10848,1387,50,10/27/2016
10849,1314,53,10/28/2016
10850,1599,52,10/28/2016
10851,1297,51,10/29/2016
10852,1271,50,10/29/2016
10853,1698,51,10/29/2016
10854,1697,53,10/29/2016
10855,1844,52,10/29/2016
10856,1358,52,10/30/2016
10857,1508,50,10/30/2016
10858,1244,53,10/30/2016
10859,1972,51,10/30/2016
10860,1328,50,10/31/2016
10861,1035,51,11/1/2016
10862,1267,52,11/1/2016
10863,1729,53,11/1/2016
10864,1408,50,11/2/2016
10865,1732,51,11/2/2016
10866,1572,52,11/3/2016
10867,1825,53,11/3/2016
10868,1936,51,11/4/2016
10869,1557,50,11/5/2016
10870,1152,53,11/5/2016
10871,1694,52,11/5/2016
10872,1880,53,11/5/2016
10873,1008,50,11/5/2016
10874,1905,52,11/6/2016
10875,1090,51,11/6/2016
10876,1481,51,11/6/2016
10877,1433,53,11/8/2016
10878,1125,50,11/8/2016
10879,1470,52,11/8/2016
10880,1242,53,11/9/2016
10881,1742,50,11/9/2016
10882,1693,52,11/9/2016
10883,1257,51,11/9/2016
10884,1132,52,11/10/2016
10885,1182,53,11/10/2016
10886,1861,50,11/13/2016
10887,1527,51,11/13/2016
10888,1904,50,11/13/2016
10889,1399,53,11/14/2016
10890,1667,52,11/14/2016
10891,1926,51,11/15/2016
10892,1272,51,11/15/2016
10893,1802,53,11/16/2016
10894,1856,50,11/16/2016
10895,1660,52,11/16/2016
10896,1377,51,11/17/2016
10897,1653,50,11/17/2016
10898,1673,52,11/17/2016
10899,1641,53,11/17/2016
10900,1683,51,11/17/2016
10901,1023,52,11/18/2016
10902,1739,50,11/18/2016
10903,1804,53,11/19/2016
10904,1426,50,11/19/2016
10905,1619,52,11/19/2016
10906,1651,53,11/20/2016
10907,1652,51,11/20/2016
10908,1330,50,11/21/2016
10909,1194,53,11/21/2016
10910,1597,52,11/21/2016
10911,1047,51,11/22/2016
10912,1823,53,11/23/2016
10913,1443,51,11/23/2016
10914,1984,52,11/23/2016
10915,1934,50,11/24/2016
10916,1591,52,11/24/2016
10917,1414,50,11/24/2016
10918,1501,51,11/25/2016
10919,1462,53,11/25/2016
10920,1159,53,11/26/2016
10921,1111,52,11/26/2016
10922,1981,51,11/26/2016
10923,1801,50,11/26/2016
10924,1107,50,11/26/2016
10925,1457,53,11/27/2016
10926,1720,52,11/27/2016
